SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500233,KAJARIA CER.,A ,Q,459.00,487.75,459.00,483.90,485.65,457.60,1034,31694,15175643.00,
500234,KAKATIYA CEM,B ,Q,162.30,166.30,162.00,165.20,165.20,162.55,62,1584,260415.00,
500235,KALYANI STEL,B ,Q,182.30,183.45,180.05,181.45,180.05,179.55,202,8421,1534127.00,
500236,KANELIND    ,X ,Q,0.76,0.80,0.76,0.76,0.76,0.80,3,210,160.00,
500238,WHIRLPOOL   ,A ,Q,1620.00,1654.00,1620.00,1652.70,1642.00,1626.40,262,2417,3981065.00,
500239,KG DENIM    ,X ,Q,28.50,29.00,28.45,28.50,28.50,29.50,10,20995,598580.00,
500240,KINETIC ENG.,XT,Q,34.30,35.80,32.95,33.65,33.05,34.30,17,3632,122267.00,
500241,KIRL.BROS.  ,B ,Q,149.80,149.95,146.65,146.80,146.65,146.90,13,120,17700.00,
500245,KIRL.FERROUS,B ,Q,64.50,64.50,62.30,62.95,63.35,62.10,96,2453,155644.00,
500247,KOTAK MAH.BK,A ,Q,1429.00,1441.00,1405.65,1409.45,1409.45,1426.95,3508,117288,165951579.00,
500249,KSB         ,B ,Q,590.00,605.55,590.00,600.10,599.85,587.85,24,233,138527.00,
500250,L.G.BALKRISH,B ,Q,327.00,339.30,324.00,333.95,332.75,328.10,22,91,30371.00,
500251,TRENT LTD.  ,A ,Q,469.50,470.70,459.25,461.65,462.75,466.65,230,3019,1400889.00,
500252,LAXMIMACH   ,A ,Q,3560.00,3602.00,3560.00,3578.00,3578.00,3556.25,86,217,778793.00,
500253,LIC HOUS.FIN,A ,Q,410.05,410.05,389.05,394.60,394.60,410.50,12324,518426,204386523.00,
500254,UTTAMVALUE  ,T ,Q,0.19,0.19,0.19,0.19,0.19,0.19,7,5586,1061.00,
500257,LUPIN LTD.  ,A ,Q,747.50,769.85,742.50,765.55,765.55,741.50,3654,104559,79572330.00,
500259,LYKA LABS   ,B ,Q,15.40,15.50,15.40,15.50,15.50,15.05,52,681,10535.00,
500260,RAMCOCEM    ,A ,Q,705.15,708.20,695.70,701.65,699.55,704.30,247,3469,2439069.00,
500264,MAFATLAL IND,X ,Q,73.00,79.00,73.00,79.00,79.00,72.60,8,118,9226.00,
500265,MAH.SEAMLESS,B ,Q,377.30,380.00,373.25,376.05,376.00,378.70,55,313,117755.00,
500266,MAH.SCOOTER ,B ,Q,3817.95,3939.50,3800.00,3915.65,3939.00,3796.50,127,355,1369673.00,
500267,MAJESTIC AUT,X ,Q,113.90,114.85,110.50,114.05,112.20,112.00,63,4832,546993.00,
500268,MANALI PETRO,B ,Q,17.50,17.90,17.20,17.30,17.50,17.60,105,12085,212594.00,
500271,MFSL        ,A ,Q,421.15,421.15,411.15,413.25,412.05,418.30,246,10556,4380222.00,
500279,MIRC ELECT  ,B ,Q,12.18,12.75,11.70,12.22,12.13,12.20,49,7459,92590.00,
500280,CENTURY ENKA,B ,Q,172.00,173.00,167.95,169.15,169.25,170.05,304,7074,1201357.00,
500284,LORDS CHLORO,XT,Q,40.15,44.20,40.15,40.15,40.15,42.10,3,42,1690.00,
500285,SPICEJET LTD,A ,Q,130.45,131.80,128.75,130.15,130.15,130.45,4483,332969,43455786.00,
500288,MOREPEN LAB.,B ,Q,15.75,15.95,15.70,15.80,15.85,15.55,65,21748,344059.00,
500290,MRF LTD.    ,A ,Q,58107.10,58200.00,57600.00,57706.65,57612.00,57673.25,197,259,14980990.00,
500292,HEIDEL CEM  ,A ,Q,197.00,197.00,193.00,194.15,194.15,197.55,338,9239,1792825.00,
500294,NCC         ,A ,Q,54.85,58.55,54.85,55.90,55.90,54.85,3594,2779372,157651657.00,
500295,VEDL        ,A ,Q,138.60,142.50,138.35,139.05,139.05,136.75,6210,888040,124359069.00,
500298,NAT.PEROXIDE,B ,Q,1450.05,1514.90,1443.15,1505.95,1505.95,1448.70,773,5693,8445924.00,
500300,GRASIM IND. ,A ,Q,707.00,707.00,691.95,697.10,697.05,693.95,1235,47188,32937023.00,
500302,PEL         ,A ,Q,1955.85,1967.25,1922.00,1938.55,1941.35,1946.70,1689,33656,65258094.00,
500304,NIIT LTD.   ,B ,Q,93.60,94.50,93.40,93.95,93.55,92.45,494,25717,2416522.00,
500306,JAYKAY      ,X ,Q,4.30,4.87,4.30,4.84,4.84,4.42,11,1202,5630.00,
500307,NIRLON      ,B ,Q,205.05,207.70,202.00,203.65,202.05,202.75,26,5611,1134387.00,
500312,ONGC CORPN  ,A ,Q,119.10,129.80,119.10,125.20,125.20,119.05,9732,1649311,208169136.00,
500313,OIL COUNTRY ,B ,Q,7.21,7.21,7.21,7.21,7.21,7.58,6,1272,9171.00,
500314,ORIENT HOTEL,B ,Q,37.50,37.50,37.50,37.50,37.50,37.60,2,1000,37500.00,
500315,ORINTAL BANK,A ,Q,66.10,66.85,64.60,65.05,65.05,66.65,875,112048,7331992.00,
500317,OSWAL AGRO. ,B ,Q,7.28,7.79,6.37,6.69,6.47,6.69,58,1259,8584.00,
500319,INDIAN SUCRO,XT,Q,16.48,16.48,16.48,16.48,16.48,15.85,1,250,4120.00,
500325,RELIANCE    ,A ,Q,1208.00,1213.75,1193.20,1198.30,1198.30,1201.55,12110,503380,605299883.00,
500327,PILITA      ,B ,Q,5.00,5.16,4.90,5.15,5.12,4.92,51,85501,430770.00,
500329,PENTAMED.G  ,XT,Q,0.30,0.30,0.29,0.29,0.29,0.30,12,12661,3685.00,
500330,RAYMOND     ,A ,Q,588.00,588.00,563.50,567.50,571.15,575.50,1203,54143,31042550.00,
500331,PIDILITE    ,A ,Q,1360.00,1372.60,1357.50,1369.40,1369.40,1359.30,565,10217,13965909.00,
500333,PIX TRANS   ,X ,Q,131.70,133.80,126.00,127.70,127.70,129.40,50,4780,618846.00,
500335,BIRLA CORPN.,A ,Q,539.00,541.00,534.75,537.20,537.20,531.80,457,1950,1048796.00,
500336,SURYA ROSHNI,B ,Q,158.00,162.35,155.50,159.90,162.35,153.75,247,6002,949974.00,
500337,PRIME SECUR.,B ,Q,33.50,34.70,33.20,33.55,33.55,34.30,40,1751,59069.00,
500338,PRSMJOHNSN  ,A ,Q,86.00,87.30,86.00,86.90,86.50,86.45,243,5179,448289.00,
500339,RAIN        ,A ,Q,82.00,84.80,81.40,84.25,84.65,81.10,1002,73447,6106810.00,
500343,AMJLAND     ,B ,Q,17.90,17.90,16.00,16.75,16.85,16.40,123,240,4061.00,
500346,PUN.COMMUNI.,B ,Q,12.21,12.67,11.55,12.67,12.67,12.15,7,1413,16332.00,
500350,RSWM  LTD   ,B ,Q,110.00,120.95,110.00,112.50,112.40,108.50,414,4935,567255.00,
500354,RAJSH.SUGAR ,T ,Q,18.90,18.90,18.90,18.90,18.90,18.05,1,5,94.00,
500355,RALLIS INDIA,A ,Q,155.25,157.45,155.25,157.15,157.45,156.60,287,2091,327824.00,
500356,RAMANEWS    ,B ,Q,15.00,15.00,14.41,14.50,14.50,14.50,7,234,3459.00,
500357,RAMA PAPER  ,X ,Q,18.55,20.00,18.50,19.10,18.50,20.00,18,1712,32342.00,
500360,RAPICUT CARB,X ,Q,43.80,43.80,40.60,42.00,42.00,41.20,9,160,6537.00,
500365,RMGALLOY    ,X ,Q,10.25,10.47,9.93,10.13,10.13,10.45,30,12109,121513.00,
500366,ROLTA (I)   ,T ,Q,5.62,6.15,5.62,5.99,6.00,5.86,106,69262,414343.00,
500367,RUBFILA INT.,X ,Q,34.20,35.15,34.20,35.10,35.10,34.25,33,5820,203003.00,
500368,RUCHI SOYA  ,B ,Q,4.66,4.66,4.30,4.58,4.56,4.45,172,154914,698521.00,
500378,JINDAL SAW  ,A ,Q,70.00,70.45,68.60,69.10,69.10,68.20,1112,111880,7774817.00,
500380,JK LAKSHMI  ,A ,Q,321.00,321.00,315.25,317.65,316.50,321.90,68,541,171884.00,
500387,SHREE CEMENT,A ,Q,17787.05,18008.60,17490.00,17597.80,17590.15,17724.60,182,258,4577762.00,
500390,REL INFRA   ,A ,Q,36.15,38.00,34.80,37.30,37.30,35.90,6045,2611526,95972740.00,
500400,TATA POWER  ,A ,Q,54.00,55.70,53.90,55.30,55.25,54.15,1097,521446,28612523.00,
500402,SPMLINFRA   ,B ,Q,14.05,14.05,13.49,13.51,13.55,14.20,18,2553,34660.00,
500403,SUNDARAM FAS,A ,Q,427.20,427.20,423.35,424.85,423.60,423.90,70,387,164584.00,
500404,SUNFLAG IRON,B ,Q,26.00,26.00,25.50,25.55,25.50,25.65,22,1685,43224.00,XD
